Predicted_Rank,Team,Ensemble_Avg,Random Forest_Pred,Gradient Boosting_Pred,Decision Tree_Pred,KNN_Pred,SVM (SVR)_Pred
1,Man City,1.6,1.7,1.7,1.8,1.3,1.5
2,Arsenal,1.8,1.8,1.9,1.8,1.7,1.7
3,Liverpool,2.6,2.5,2.6,2.5,2.7,2.5
4,Newcastle,4.8,4.8,4.9,5.0,4.6,4.9
5,Aston Villa,5.8,5.9,6.0,6.0,5.4,5.5
6,Chelsea,7.2,7.1,7.3,8.2,6.8,6.6
7,Man United,7.5,7.6,7.6,7.4,7.4,7.4
8,Brighton,7.7,7.8,7.3,8.8,7.3,7.1
9,Brentford,9.0,9.1,9.1,8.7,9.1,9.0
10,Tottenham,9.2,8.9,9.3,8.7,9.2,10.0
11,Fulham,9.7,9.9,9.7,8.7,10.0,10.0
12,Crystal Palace,9.9,10.0,9.8,9.4,10.0,10.1
13,Nott'm Forest,11.5,11.8,11.6,9.5,12.9,11.9
14,Bournemouth,12.5,12.1,11.8,14.2,13.0,11.5
15,West Ham,12.8,12.8,12.5,12.3,13.2,13.1
16,Everton,13.1,12.5,12.8,13.3,13.7,13.2
17,Wolves,14.3,14.3,14.2,14.1,14.4,14.7
18,Burnley,19.0,19.2,19.3,18.5,18.9,19.0
19,Leeds,19.0,19.1,19.0,19.0,18.9,19.1
20,Sunderland,19.8,19.7,19.5,20.0,19.7,20.0
