Player,Squad,Age,Market_Value,Performance_Score,Predicted_Score,Rank
Fabio Chiarodia,Gladbach,19.0,2000000.0,3.3878756356911697,2.7050156909059693,1
Noahkai Banks,Augsburg,17.0,150000.0,3.0425115207373272,2.699851266108458,2
James Hill,Bournemouth,22.0,2000000.0,2.47734693877551,2.4289418915949863,3
Fellipe Jack,Como,18.0,200000.0,2.5652255639097747,2.3424422115498946,4
Yarek Gasiorowski,Valencia,19.0,15000000.0,2.2632928275044457,2.2320593571043417,5
Chadi Riad,Crystal Palace,21.0,15000000.0,2.228048780487805,2.214465825783144,6
El Chadaille Bitshiabu,RB Leipzig,19.0,12000000.0,2.233759485318376,2.146713481724109,7
Luca Marianucci,Empoli,20.0,800000.0,2.094175978417397,2.1294974582234683,8
Mattia Viti,Empoli,22.0,6500000.0,1.9787269480304732,2.1170346925287653,9
Dean Huijsen,Bournemouth,19.0,18000000.0,2.2010028490028484,2.116155599071582,10
