Player,Squad,Age,Market_Value,Performance_Score,Predicted_Score,Rank
Keke Maximilian Topp,Werder Bremen,20.0,4000000.0,0.6504285714285715,0.5329972181746628,1
Mika Biereth,Monaco,21.0,13000000.0,0.6272058823529413,0.5245192901985105,2
Youssoufa Moukoko,Nice,19.0,18000000.0,0.6264782608695653,0.5236760097065164,3
Bradley Barcola,Paris S-G,21.0,65000000.0,0.48858901049810144,0.4720222777174341,4
Lucas Stassin,Saint-Étienne,19.0,5000000.0,0.43874242424242427,0.4716356186311704,5
Daniel Jebbison,Bournemouth,20.0,1200000.0,0.4646153846153846,0.46583646493834724,6
Nick Woltemade,Stuttgart,22.0,7500000.0,0.45811111111111114,0.46319059596281614,7
Samuel Iling-Junior,Bologna,20.0,11000000.0,0.4471153846153846,0.4565912703602843,8
Arnaud Kalimuendo,Rennes,22.0,20000000.0,0.40539716166186757,0.447798882518862,9
Michael Olise,Bayern Munich,22.0,65000000.0,0.45323857412229507,0.4450245343548105,10
