Player,Squad,Age,Market_Value,Performance_Score,Predicted_Score,Rank
Frank Feller,Heidenheim,20.0,350000.0,3.9,1.0783698829885857,1
Julen Agirrezabala,Athletic Club,23.0,15000000.0,0.8435103896103896,0.9747939527307029,2
Théo De Percin,Auxerre,23.0,100000.0,0.6765,0.9465777596160093,3
Mark Travers,Bournemouth,25.0,4000000.0,0.7127272727272728,0.9075923302726081,4
Matej Kovar,Leverkusen,24.0,7000000.0,0.7367272727272727,0.8724725477374581,5
Joan García,Espanyol,23.0,10000000.0,0.6280333333333333,0.8719823908881179,6
Lucas Chevalier,Lille,22.0,30000000.0,0.6964206896551723,0.8719823908881179,7
Hákon Rafn Valdimarsson,Brentford,22.0,2500000.0,0.6738805970149253,0.8683305916721838,8
Lasse Rieß,Mainz 05,23.0,200000.0,0.6477272727272727,0.848062997991563,9
Arnau Tenas,Paris S-G,23.0,4000000.0,0.6477272727272727,0.848062997991563,10
